id,Name,Info,Discount,Price
0,大成,黃金脆皮雞腿排50片,92折,"1,950元"
1,永信藥品,健康優見高單位葉黃素軟膠囊(金盞花萃取物x5瓶 升級版),5折,995元
2,AOC,24型 IPS纖薄窄邊框螢幕,8折,"2,488元"
3,Simply,超濃代謝夜酵素錠EX(30顆x4盒),5折,"2,844元"
4,桂格,養氣人蔘滋補液禮盒x2盒(30入/盒),88折,"2,816元"
5,ASUS送1TB行動硬碟組,14吋i7獨顯512G頂規輕薄筆電,9折,"28,900元"
6,Arnold Palmer,涼夏美腳化妝師8入組(隱形襪/短襪/男襪/女襪),79折,399元
7,Coway,清淨機4年免購耗材再贈萬元好禮,86折,"12,900元"
8,Haagen-Dazs 哈根達斯,值得義式迷你杯12入組(義式巧克2義式焦糖2焦脆2草莓2夏果2抹茶2),89折,899元
9,Tefal特福,法國製不沾雙鍋28cm(平底鍋+炒鍋) ,41折,999元
10,Canon,CV-123A 即拍即印 拍可印相機,42折,"1,690元"
11,朵舒,全效抗菌洗衣膠囊/洗衣球 20粒X10袋/箱,94折,699元
12,全尺寸均一價,羽絲絨日式床墊-多款任選,57折,799元
13,Philips 飛利浦,智能瞬熱 免治馬桶便座AIB2190,63折,"6,990元"
14,MARC JACOBS 馬克賈伯,& TORY BURCH品牌經典熱銷 相機包、水桶包、鏈帶包(多款任選),46折,"6,999元"
15,阿原肥皂,艾草皂3入組,75折,679元
16,中興米,中興米富貴吉祥2KGx8入(CNS一等),88折,669元
17,NIKE, 運動長褲 棉褲 黑灰,62折,"1,111元"
18,OUTSY,五節折疊外鎖7075鋁合金登山杖(2入特惠組),37折,899元
19,Havit 海威特,輕巧無線藍牙耳機TW916,59折,888元
20,德國樂美思★買10送12,PH5.5極致修護凍齡霜50mlX10入,38折,"1,899元"
21,4小抽1大抽,日系附輪五層抽屜櫃/公文櫃/活動櫃-4色可選,77折,990元
22,tokuyo,煥眼冷熱眼部按摩器 (刷mo卡10%回饋),87折,"3,499元"
23,康乃馨,Hi-Water 水濕巾80片x24包/箱,81折,649元
24,超值2入組,Apple原廠品質Lightning傳輸線,63折,399元
25,Roots,女款 精選大學T(多款可選),37折,"1,000元"
26,LG 樂金,191公升◆二級能效變頻單門冰箱◆精緻銀(GN-Y200SV),81折,"8,888元"
27,Coosur 山富,冷壓特級初榨橄欖油1000mlx3瓶 ,53折,790元
28,大成,黃金脆皮雞腿排50片,92折,"1,950元"
29,永信藥品,健康優見高單位葉黃素軟膠囊(金盞花萃取物x5瓶 升級版),5折,995元
30,大家學標準日本語,初級／中級／高級,66折,791元
31,FAIR LADY,七日色階★低跟/楔形/高跟女鞋(多款7色選),82折,"1,788元"
32,德國 好立善,基礎保養系列發泡錠任選12入家庭組20錠x12(綜合維他命/維他命C/鎂/鈣),61折,"1,188元"
33,DU 快時尚,簡約個性經典百搭風衣外套(7款任選S-2XL),35折,629元
34,LA MER 海洋拉娜,經典乳霜60ml(航空版),67折,"7,999元"
35,夢特嬌,100%天絲兩用被床組-多款選尺寸均價,9折,"2,980元"
36,MyCard,1000點點數卡,95折,950元
37,Oral-B,16入刷頭送藍芽電動牙刷,34折,"3,990元"
38,紅牛,全家人高鈣營養奶粉2罐(2.4kg/罐),83折,999元
39,西堤,西堤牛排 消費2客經典套餐 即享券(款待 經典雞翅 乙份),89折,"1,250元"
40,送兩千禮券+2000mo幣,dyson Pure Cool Cryptomic TP06 智慧 涼風 空氣清淨機(兩色選),91折,"22,900元"
41,Apple 蘋果,Apple Watch Series6 40公釐 GPS版(鋁金屬錶殼搭配運動錶帶),95折,"13,399元"
42,4小抽1大抽,日系附輪五層抽屜櫃/公文櫃/活動櫃-4色可選,77折,990元
43,德國樂美思★買10送12,PH5.5極致修護凍齡霜50mlX10入,38折,"1,899元"
44,tokuyo,煥眼冷熱眼部按摩器 (刷mo卡10%回饋),87折,"3,499元"
45,超值2入組,Apple原廠品質Lightning傳輸線,63折,399元
46,康乃馨,Hi-Water 水濕巾80片x24包/箱,81折,649元
47,Roots,女款 精選大學T(多款可選),37折,"1,000元"
48,LG 樂金,191公升◆二級能效變頻單門冰箱◆精緻銀(GN-Y200SV),81折,"8,888元"
49,Coosur 山富,冷壓特級初榨橄欖油1000mlx3瓶,53折,790元
50,大成,黃金脆皮雞腿排50片,92折,"1,950元"
51,永信藥品,健康優見高單位葉黃素軟膠囊(金盞花萃取物x5瓶 升級版),5折,995元
52,台酒生技★買1送1,酒粕精粹極緻青春眼霜15G,8折,"1,111元"
53,舒潔,棉絨膚觸100抽x72包,92折,769元
54,虎牌_2入組送保溫袋,超輕量保溫杯500ml+保溫杯2選1,74折,"1,399元"
55,IRIS,日式透明鞋盒12入,59折,"1,199元"
56,PUMA,男鞋 FLEX RENEW 輕量跑鞋 371120-02 / 371120-04 / 371120-01,75折,"1,199元"
57,LOHAS,內褲6件組_歐洲PIMA棉 高腰暖腹抗敏MIT,77折,499元
58,三得利,蜜露珂娜2盒+贈蜜得絲6包,78折,"2,888元"
59,蜂蜜世界,台灣龍眼家庭號3000g買1贈4(贈嚐鮮瓶130gX3入+350gX1入),68折,950元
60,黑豆桑,缸黑好料6瓶組(缸底醬油x3+黑金醬油x3),67折,"1,199元"
61,iRobot,美國iRobot Roomba 670 wifi掃地機器人+Braava Jet 240多功能擦地機器人,41折,"9,999元"
62,美國HAIROLOGY音波活絡負離子健髮梳,美國HAIROLOGY音波活絡負離子健髮梳,39折,"1,580元"
63,4小抽1大抽,日系附輪五層抽屜櫃/公文櫃/活動櫃-4色可選,77折,990元
64,德國樂美思★買10送12,PH5.5極致修護凍齡霜50mlX10入,38折,"1,899元"
65,tokuyo,煥眼冷熱眼部按摩器 (刷mo卡10%回饋),87折,"3,499元"
66,超值2入組,Apple原廠品質Lightning傳輸線,63折,399元
67,康乃馨,Hi-Water 水濕巾80片x24包/箱,81折,649元
68,Roots,女款 精選大學T(多款可選),37折,"1,000元"
69,LG 樂金,191公升◆二級能效變頻單門冰箱◆精緻銀(GN-Y200SV),81折,"8,888元"
70,Coosur 山富,冷壓特級初榨橄欖油1000mlx3瓶,53折,790元
71,大成,黃金脆皮雞腿排50片,92折,"1,950元"
72,永信藥品,高單位葉黃素軟膠囊升級版(金盞花萃取物x10瓶 送升級版B群x2瓶),47折,"1,990元"
73,JOIE,可攜式嬰兒床/遊戲床-MOMO限定版,74折,"2,888元"
74,贈奶泡機★飛利浦,全自動義式咖啡機(HD8650),67折,"9,999元"
75,GOA,天然無毒橡膠★輕量化懶人平底休閒防水鞋(多色任選),6折,890元
76,OSmei,脫皮大師 最強足膜 6盒/12雙入(蜂王漿/維生素B12/黑曜石),58折,699元
77,鬍鬚張-挑戰全通路最便宜,黃金粹魯200g/雞絲200g任選5包組,84折,568元
