id,Target,Class,Title,Price,Discount
0,折扣,鞋/包/箱,【Chloe’ 蔻依】C Bag 金釦小牛皮三折扣式零錢袋迷妳短夾(2色/任選),9990,
1,折扣,鞋/包/箱,【PRADA 普拉達】1ML047 桃粉 經典三角牌(對折扣式 短夾),12665,售價已折
2,折扣,鞋/包/箱,【COACH】莫蘭迪綠xC吊飾皮革對折扣式零錢包短夾,3399,售價已折
3,折扣,鞋/包/箱,【Michael Kors】Jet Set Travel 滿版三折扣式零錢長夾(白),2999,售價已折
4,折扣,鞋/包/箱,【MIU MIU】經典浮雕LOGO抓皺雙折扣式零錢短夾(粉桃),11270,售價已折
5,折扣,鞋/包/箱,【COACH】橙黃xC吊飾皮革對折扣式零錢包短夾,3399,售價已折
6,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典手工編織拼接三折扣式零錢短夾(紅),13180,售價已折
7,折扣,鞋/包/箱,【TORY BURCH】金屬字母雙T小牛皮三折扣式零錢短夾(紅),4930,售價已折
8,折扣,鞋/包/箱,【PRADA 普拉達】經典LOGO水波紋三折扣式零錢短夾(紅),15090,售價已折
9,折扣,鞋/包/箱,【Balenciaga 巴黎世家】BALENCIAGA 巴黎世家機經典機車包設計牛皮三折扣式短夾(黑),15980,售價已折
10,折扣,鞋/包/箱,【COACH】紅x黑PVC對折扣式零錢包短夾,3692,售價已折
11,折扣,鞋/包/箱,【COACH】桃紅xC吊飾皮革對折扣式零錢包短夾,3399,售價已折
12,折扣,鞋/包/箱,【KATE SPADE】mikey 飾珍珠雙折扣式牛皮中夾-黑色,2737,售價已折
13,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織小羊皮三折扣式零錢短夾(黑),13180,售價已折
14,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織水洗羊皮三折扣式零錢短夾(黑),13180,售價已折
15,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織小牛皮三折扣式零錢短夾(墨綠),13180,售價已折
16,折扣,鞋/包/箱,【COACH】紅x黑xC吊飾PVC對折扣式零錢包短夾,3692,售價已折
17,折扣,鞋/包/箱,【GUCCI 古馳】Gutchishima 經典雙G LOGO雙折扣式零錢短夾(黑),14135,售價已折
18,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織小羊皮三折扣式零錢短夾(粉桃),13180,售價已折
19,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織小牛皮三折扣式零錢短夾(深紫),13180,售價已折
20,折扣,鞋/包/箱,【BOTTEGA VENETA 寶緹嘉】經典編織羊皮蝴蝶三折扣式零錢中夾(藍綠),15090,售價已折
